"ARK","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","LAST_MODIFIED_BY","PARENT_ARK","SEQUENCE","STATUS","TITLE","TYPE"
"21198/zz000905n9",31-JAN-08,"dlp@lists.ucla.edu",04-MAY-22,"tbarnett@library.ucla.edu","21198/zz0008zh0f",4,"Completed","African American Artists of Los Angeles","Series"
"21198/zz000905rv",31-JAN-08,"dlp@lists.ucla.edu",08-DEC-17,"tbarnett@library.ucla.edu","21198/zz0008zh0f",71,"Completed","Oral History of the Pasadena Art Museum","Series"
"21198/zz000905sc",31-JAN-08,"dlp@lists.ucla.edu",13-APR-20,"tbarnett@library.ucla.edu","21198/zz0008zh0f",42,"Completed","Entrepreneurs of the West","Series"
"21198/zz000905tw",31-JAN-08,"dlp@lists.ucla.edu",17-FEB-21,"tbarnett@library.ucla.edu","21198/zz0008zh0f",87,"Completed","UCLA Student Leaders of the 1920s and '30s","Series"
"21198/zz000905xf",31-JAN-08,"dlp@lists.ucla.edu",08-DEC-17,"tbarnett@library.ucla.edu","21198/zz0008zh0f",70,"Completed","Oral History of the Motion Picture in America","Series"
"21198/zz000905jr",31-JAN-08,"dlp@lists.ucla.edu",01-SEP-15,"nehodge@library.ucla.edu","21198/zz0008zh0f",19,"Completed","Black Leadership in Los Angeles","Series"
"21198/zz00090620",31-JAN-08,"dlp@lists.ucla.edu",08-DEC-17,"tbarnett@library.ucla.edu","21198/zz0008zh0f",83,"Completed","Seven Decades of Planning and Development in the Los Angeles Region","Series"
"21198/zz000905vd",31-JAN-08,"dlp@lists.ucla.edu",30-APR-18,"tbarnett@library.ucla.edu","21198/zz0008zh0f",86,"Completed","UCLA Neuropsychiatric Institute and Hospital","Series"
"21198/zz000906kr",31-JAN-08,"dlp@lists.ucla.edu",10-AUG-18,"tbarnett@library.ucla.edu","21198/zz0008zh0f",79,"Completed","Recollections about Ralph Bunche","Series"
"21198/zz000905h7",31-JAN-08,"dlp@lists.ucla.edu",01-SEP-15,"nehodge@library.ucla.edu","21198/zz0008zh0f",39,"Completed","Donated Oral Histories","Series"
"21198/zz0009061g",31-JAN-08,"dlp@lists.ucla.edu",22-APR-20,"tbarnett@library.ucla.edu","21198/zz0008zh0f",48,"Completed","Governmental History Documentation Project - Ronald Reagan Era","Series"
"21198/zz0009063h",31-JAN-08,"dlp@lists.ucla.edu",18-MAY-20,"oralhistory@library.ucla.edu","21198/zz0008zh0f",76,"Completed","Pew Scholars Program in the Biomedical Sciences","Series"
"21198/zz00090662",31-JAN-08,"dlp@lists.ucla.edu",30-APR-18,"tbarnett@library.ucla.edu","21198/zz0008zh0f",94,"Completed","Water for Los Angeles","Series"
"21198/zz0009065j",31-JAN-08,"dlp@lists.ucla.edu",08-DEC-17,"tbarnett@library.ucla.edu","21198/zz0008zh0f",69,"Completed","Oral History of California Water Resources Development","Series"
"21198/zz000906b4",31-JAN-08,"dlp@lists.ucla.edu",08-DEC-17,"tbarnett@library.ucla.edu","21198/zz0008zh0f",81,"Completed","Robert Irwin Project Interviews","Series"
"21198/zz000906g6",31-JAN-08,"dlp@lists.ucla.edu",20-APR-20,"oralhistory@library.ucla.edu","21198/zz0008zh0f",52,"Completed","Holocaust Studies","Series"
"21198/zz0008z823",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",349,"Completed","Interview of Wilbur J. Smith","Interview"
"21198/zz0008zj3g",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",342,"Completed","Interview of Waldemar Westergaard","Interview"
"21198/zz0008zkgn",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",247,"Completed","Interview of Norman Cousins","Interview"
"21198/zz0008zctx",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",125,"Completed","Interview of Gifford Phillips","Interview"
"21198/zz000901f8",31-JAN-08,"dlp@lists.ucla.edu",08-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",11,"Completed","Interview of Alice McGrath (1981)","Interview"
"21198/zz0008zgrb",31-JAN-08,"dlp@lists.ucla.edu",23-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",8,"Completed","Interview of Albert Goldberg","Interview"
"21198/zz0008zcjs",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",132,"Completed","Interview of Guy Endore","Interview"
"21198/zz0008zdks",31-JAN-08,"dlp@lists.ucla.edu",20-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",211,"Completed","Interview of Lynn T. White Jr.","Interview"
"21198/zz0009030h",31-JAN-08,"dlp@lists.ucla.edu",28-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",56,"Completed","Interview of David Palmer","Interview"
"21198/zz0008znq7",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",57,"Completed","Interview of David S. Saxon (1994)","Interview"
"21198/zz0008zb43",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",67,"Completed","Interview of Dorothy Huttenback","Interview"
"21198/zz0008zfc5",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",328,"Completed","Interview of Steven E. McNichols (1965)","Interview"
"21198/zz00090332",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",94,"Completed","Interview of Floyd Watson","Interview"
"21198/zz000902hs",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",99,"Completed","Interview of Frances Lasker Brody","Interview"
"21198/zz0008zx28",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",92,"Completed","Interview of Feri Roth","Interview"
"21198/zz0008zb7n",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",107,"Completed","Interview of Franklin P. Rolfe","Interview"
"21198/zz0008z7rz",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",73,"Completed","Interview of Eason Monroe","Interview"
"21198/zz0008zjnr",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",146,"Completed","Interview of Henry W. Fiering","Interview"
"21198/zz0008zxgg",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",148,"Completed","Interview of Huntington Hartford","Interview"
"21198/zz0008zgp9",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",149,"Completed","Interview of Hyman R. Faine","Interview"
"21198/zz0008zx07",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",111,"Completed","Interview of Frederick Moritz","Interview"
"21198/zz0008zhn8",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",154,"Completed","Interview of James A. C. Grant","Interview"
"21198/zz0008z8ht",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",112,"Completed","Interview of Frederick S. Wight","Interview"
"21198/zz0009009q",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",58,"Completed","Interview of Delbert Ausmus","Interview"
"21198/zz0008zx9w",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",102,"In progress","Interview of Frances Savitch","Interview"
"21198/zz0008zcsd",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",110,"Completed","Interview of Fred Okrand","Interview"
"21198/zz0008zxdf",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",136,"Completed","Interview of Hansena Frederickson (1969)","Interview"
"21198/zz0008zg3h",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",135,"Completed","Interview of Harold E. Verrall","Interview"
"21198/zz0008zs9z",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",188,"Completed","Interview of Judith Murphy","Interview"
"21198/zz0008zh4h",31-JAN-08,"dlp@lists.ucla.edu",20-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",210,"Completed","Interview of Lulu Wolf Hassenplug","Interview"
"21198/zz0008zg7k",31-JAN-08,"dlp@lists.ucla.edu",10-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",43,"Completed","Interview of Charles Farwell Edson Jr.","Interview"
"21198/zz0008zd42",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",38,"Completed","Interview of Blanche Witherspoon","Interview"
"21198/zz0008zfjr",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",78,"Completed","Interview of Edouard Roditi","Interview"
"21198/zz0008zgm8",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",47,"Completed","Interview of Charles Speroni","Interview"
"21198/zz0008zk71",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",81,"Completed","Interview of Ellis A. Jarvis","Interview"
"21198/zz0008zc95",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",83,"Completed","Interview of Elmer Belt","Interview"
"21198/zz0008zhgp",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",49,"Completed","Interview of Clara M. Szego","Interview"
"21198/zz0008zpsr",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",271,"Completed","Interview of Pratapaditya Pal","Interview"
"21198/zz0008zg41",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",278,"Completed","Interview of Ray Bradbury","Interview"
"21198/zz0008zdwf",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",282,"Completed","Interview of Reidar F. Sognnaes","Interview"
"21198/zz0008zrz9",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",283,"Completed","Interview of Reuben W. Borough","Interview"
"21198/zz0008zs8f",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",299,"Completed","Interview of Robert M. Hayes","Interview"
"21198/zz0008zpxt",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",325,"Completed","Interview of Sidney Roberts","Interview"
"21198/zz0008zcmt",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",285,"Completed","Interview of Richard C. Maxwell","Interview"
"21198/zz0008zg83",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",291,"Completed","Interview of Robert A. Rogers","Interview"
"21198/zz0008zd9n",31-JAN-08,"dlp@lists.ucla.edu",10-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",331,"Completed","Interview of Thomas Bradley (1984)","Interview"
"21198/zz0008zz59",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",347,"Completed","Interview of Ward Ritchie","Interview"
"21198/zz0009029p",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",238,"Completed","Interview of Morgan Evans","Interview"
"21198/zz0008zjr9",31-JAN-08,"dlp@lists.ucla.edu",20-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",236,"Completed","Interview of Milton I. Roemer","Interview"
"21198/zz0008znv9",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",297,"Completed","Interview of Robert G. Vosper","Interview"
"21198/zz0009032j",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",343,"Completed","Interview of Walter F. Starkie","Interview"
"21198/zz0008zk50",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",350,"Completed","Interview of Willard E. Goodwin","Interview"
"21198/zz0008zbrd",31-JAN-08,"dlp@lists.ucla.edu",10-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",302,"Completed","Interview of Robert W. Kenny","Interview"
"21198/zz00090285",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",312,"Completed","Interview of Ruth J. Temple","Interview"
"21198/zz0008zgxx",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",344,"Completed","Interview of Walter Knott","Interview"
"21198/zz0008zcbp",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",326,"Completed","Interview of Stafford L. Warren (1983)","Interview"
"21198/zz0008zrr6",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",308,"Needs Review","Interview of Roslyn B. Alfin-Slater","Interview"
"21198/zz0008zd3j",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",310,"Completed","Interview of Roy Harris","Interview"
"21198/zz0008z7jv",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",93,"Completed","Interview of Flora M. Scott","Interview"
"21198/zz0008zgtc",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",361,"Completed","Interview of William P. Longmire","Interview"
"21198/zz0008zdfq",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",51,"Completed","Interview of Cliff May","Interview"
"21198/zz0008zdcp",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",190,"Completed","Interview of Juliet Man Ray","Interview"
"21198/zz0008zb22",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",296,"Completed","Interview of Robert G. Cowan","Interview"
"21198/zz0008z7gt",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",196,"Completed","Interview of Lawrence Clark Powell (1973)","Interview"
"21198/zz0008zcpv",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",254,"Completed","Interview of Paul A. Dodd","Interview"
"21198/zz0008zwvp",31-JAN-08,"dlp@lists.ucla.edu",20-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",226,"Completed","Interview of Mary Bran","Interview"
"21198/zz000902x0",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",235,"Completed","Interview of Mildred Foreman","Interview"
"21198/zz0008zgqt",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",326,"Completed","Interview of Stephen S. Kayser","Interview"
"21198/zz0008z7mw",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",244,"Completed","Interview of Neil H. Jacoby (1974)","Interview"
"21198/zz0008zbtf",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",330,"Completed","Interview of Sven Reher","Interview"
"21198/zz0008znxb",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",339,"Completed","Interview of Verne Dyson","Interview"
"21198/zz000904cp",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",46,"Completed","Interview of Charles Seeger","Interview"
"21198/zz0008z8g9",31-JAN-08,"dlp@lists.ucla.edu",25-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",223,"Completed","Interview of Marta Feuchtwanger","Interview"
"21198/zz0008z8v0",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",341,"Completed","Interview of W. W. Robinson","Interview"
"21198/zz0008zfsc",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",77,"Completed","Interview of Edmund Hall North","Interview"
"21198/zz0008z886",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",19,"Completed","Interview of Annita Delano","Interview"
"21198/zz0008zdnt",31-JAN-08,"dlp@lists.ucla.edu",08-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",26,"Completed","Interview of Arthur Gould","Interview"
"21198/zz0008zf73",31-JAN-08,"dlp@lists.ucla.edu",23-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",7,"Completed","Interview of Albert Carey Martin Jr.","Interview"
"21198/zz0008zfqb",31-JAN-08,"dlp@lists.ucla.edu",23-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",12,"Completed","Interview of Alice McGrath (1984-85)","Interview"
"21198/zz00090421",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",175,"Completed","Interview of John F. Aiso","Interview"
"21198/zz0008zsk3",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",145,"Completed","Interview of Henry T. Hopkins","Interview"
"21198/zz0008zdm9",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",334,"Completed","Interview of Thomas H. Garver","Interview"
"21198/zz0008z8b7",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",79,"Completed","Interview of Edwin H. Carpenter","Interview"
"21198/zz0008z8sz",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",124,"Completed","Interview of Gertrude S. Zeisl","Interview"
"21198/zz0009027n",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",323,"Completed","Interview of Sherman Savage","Interview"
"21198/zz000902b6",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",166,"Completed","Interview of Jere Hazlett","Interview"
"21198/zz000902fr",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",279,"Completed","Interview of Raymond E. Page","Interview"
"21198/zz000902kt",31-JAN-08,"dlp@lists.ucla.edu",08-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",29,"Completed","Interview of Barbara Morgan","Interview"
"21198/zz000902mb",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",74,"Completed","Interview of Ed Moses","Interview"
"21198/zz000902nv",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",123,"Completed","Interview of Gerald J. Nordland","Interview"
"21198/zz000902tf",31-JAN-08,"dlp@lists.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",25,"Completed","Interview of Arthur E. Briggs","Interview"
"21198/zz000902g8",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",204,"Completed","Interview of Lloyd Wright","Interview"
"21198/zz0008zgb4",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",169,"Completed","Interview of John Allard","Interview"
"21198/zz000903gr",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",157,"Completed","Interview of James F. Bridges","Interview"
"21198/zz0008zd00",31-JAN-08,"dlp@lists.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",87,"Completed","Interview of Ernest Gruening","Interview"
"21198/zz0008zd1h",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",225,"Completed","Interview of Marva Shearer","Interview"
"21198/zz0008zx3s",31-JAN-08,"dlp@lists.ucla.edu",08-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",21,"In progress","Interview of Anton Calleia","Interview"
"21198/zz0008zx49",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",88,"Completed","Interview of Ethel G. H. Conant","Interview"
"21198/zz0008zwz7",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",267,"Completed","Interview of Philip Kaghan","Interview"
"21198/zz0008zd84",31-JAN-08,"dlp@lists.ucla.edu",24-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",257,"Completed","Interview of Paul H. Sheats","Interview"
"21198/zz0008zdb5",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",205,"Completed","Interview of Louis B. Slichter","Interview"
"21198/zz0008zxfz",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",231,"Completed","Interview of Michael Gaszynski","Interview"
"21198/zz0008zh2g",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",96,"Completed","Interview of Foster H. Sherwood","Interview"
"21198/zz0008zhvc",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",180,"Completed","Interview of John R. Sandbrook","Interview"
